"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;7381968;0.013;33.28;54.35;2.984;11.7;233.8;17.3;0.0;49.95;0.07;0;0;0.00000;-0.96204;
1111 1111 0000 0000;28024003;0.138;32.12;54.19;2.983;10.5;233.3;7.1;0.0;50.01;0.03;0;0;0.00000;-0.96582;
1111 1111 0000 0000;28028303;0.138;32.62;54.32;2.984;10.4;233.5;7.2;0.0;50.00;0.04;0;0;0.00000;-0.97852;
1111 1111 0000 0000;28030303;0.138;32.02;54.36;2.984;10.5;233.7;7.2;0.0;50.00;0.05;0;0;0.00000;-0.98785;
1111 1111 0000 0000;28032866;0.138;32.72;54.37;2.984;10.8;233.9;7.2;0.0;49.99;0.03;0;0;0.00003;-0.98346;
1111 1111 0000 0000;28034433;0.138;32.62;54.37;2.983;10.5;233.8;7.2;0.0;50.00;0.04;0;0;0.00000;-0.98224;
1111 1111 0000 0000;28036434;0.138;32.02;54.41;2.984;10.4;233.9;7.2;0.0;50.00;0.04;0;0;0.00000;-0.99078;
1111 1111 0000 0000;28038484;0.138;32.12;54.40;2.983;10.3;234.0;7.2;0.0;50.00;0.03;0;0;0.00003;-0.98102;
1111 1111 0000 0000;28040462;0.138;32.72;54.37;2.983;10.5;233.9;7.2;0.0;49.98;0.03;0;0;0.00003;149.38660;
1111 1111 0000 0000;28042463;0.138;32.12;54.39;2.984;10.4;234.0;7.2;0.0;49.98;0.04;0;0;0.00003;148.53516;
1111 1111 0000 0000;28048494;0.138;32.11;54.39;2.984;10.5;233.9;7.2;0.0;49.98;0.03;0;0;0.00000;148.84644;
1111 1111 0000 0000;28050494;0.138;32.12;54.40;2.983;10.4;234.0;7.2;0.0;49.98;0.04;0;0;0.00003;148.54431;
1111 1111 0000 0000;28052535;0.138;32.12;54.41;2.984;10.4;234.0;7.2;0.0;50.00;0.04;0;0;0.00000;-0.97882;
1111 1111 0000 0000;28058573;0.138;32.62;54.41;2.984;10.4;233.9;7.2;0.0;49.99;0.04;0;0;0.00000;-0.99115;
1111 1111 0000 0000;28060933;0.138;32.12;54.45;2.983;10.4;234.2;7.2;0.0;49.99;0.03;0;0;0.00003;148.84644;
1111 1111 0000 0000;28062923;0.138;32.62;54.47;2.984;10.3;234.2;7.2;0.0;50.00;0.04;0;0;0.00000;-0.97644;
1111 1111 0000 0000;28068925;0.138;32.72;54.47;2.983;10.5;234.4;7.2;0.0;50.01;0.03;0;0;0.00003;-0.95795;
1111 1111 0000 0000;28070925;0.138;32.72;54.44;2.983;10.4;234.4;7.2;0.0;50.01;0.03;0;0;0.00000;-0.97144;
1111 1111 0000 0000;28073355;0.138;32.11;54.49;2.984;10.3;234.4;7.2;0.0;50.00;0.03;0;0;0.00000;-0.97552;"Walid is great";
1111 1111 0000 0000;28075335;0.138;32.72;54.49;2.983;10.4;234.4;7.2;0.0;50.00;0.04;0;0;0.00003;149.94507;
1111 1111 0000 0000;28077334;0.138;32.12;54.48;2.983;10.4;234.5;7.2;0.0;49.99;0.03;0;0;0.00000;148.80066;
1111 1111 0000 0000;28079334;0.138;32.02;54.44;2.984;10.4;234.1;7.2;0.0;50.01;0.04;0;0;0.00000;-0.97906;
1111 1111 0000 0000;28081334;0.138;32.03;54.49;2.984;10.5;234.1;7.2;0.0;50.02;0.04;0;0;0.00000;-0.98737;
1111 1111 0000 0000;28083333;0.138;32.12;54.49;2.983;10.7;234.3;6.9;0.0;50.01;0.03;0;0;0.00000;-0.96100;
1111 1111 0000 0000;28089334;0.138;31.51;54.45;2.984;10.4;234.2;7.2;0.0;50.01;0.03;0;0;0.00003;-0.99298;
1111 1111 0000 0000;28091333;0.138;32.11;54.47;2.984;10.5;234.3;7.2;0.0;50.02;0.03;0;0;0.00003;148.74573;
1111 1111 0000 0000;28093333;0.138;32.02;54.48;2.983;10.4;234.4;7.2;0.0;50.01;0.04;0;0;-0.00003;-0.98682;
1111 1111 0000 0000;28099405;0.138;32.73;54.52;2.983;10.5;234.5;7.2;0.0;50.00;0.03;0;0;0.00000;149.56970;
1111 1111 0000 0000;28101425;0.138;32.11;54.51;2.984;10.5;234.5;7.2;0.0;50.00;0.04;0;0;0.00003;148.83728;
1111 1111 0000 0000;28103414;0.138;32.72;54.51;2.983;10.5;234.6;6.9;0.0;50.00;0.03;0;0;0.00000;-0.97247;
1111 1111 0000 0000;28105414;0.138;32.41;54.47;2.984;10.3;234.4;7.2;0.0;50.00;0.03;0;0;0.00000;-0.99530;
1111 1111 0000 0000;28108034;0.138;32.12;54.53;2.983;10.5;234.5;7.2;0.0;49.99;0.03;0;0;-0.00003;-0.99115;
1111 1111 0000 0000;28110035;0.138;32.63;54.48;2.984;10.5;234.4;7.2;0.0;50.00;0.04;0;0;0.00000;-0.97974;
1111 1111 0000 0000;28112671;0.138;31.81;54.47;2.983;10.5;234.2;7.2;0.0;49.98;0.03;0;0;0.00000;-0.99701;"Walid is great";
1111 1111 0000 0000;28114233;0.138;31.51;54.48;2.984;10.5;234.4;7.2;0.0;49.99;0.04;0;0;0.00000;-0.96698;
1111 1111 0000 0000;28118384;0.138;32.62;54.46;2.984;10.5;234.1;7.2;0.0;49.99;0.04;0;0;0.00000;-0.99127;
1111 1111 0000 0000;28120374;0.138;32.12;54.46;2.984;10.5;234.2;7.2;0.0;49.98;0.03;0;0;0.00000;-0.99799;
1111 1111 0000 0000;28122373;0.138;32.02;54.45;2.984;10.5;234.1;6.9;0.0;49.98;0.04;0;0;0.00000;-0.98828;
1111 1111 0000 0000;28124373;0.138;32.12;54.44;2.984;10.5;234.3;7.2;0.0;49.98;0.03;0;0;0.00003;-0.97839;
1111 1111 0000 0000;28129355;0.138;33.00;54.46;2.984;10.4;234.5;7.2;0.0;49.98;0.04;0;0;0.00000;-0.99786;
1111 1111 0000 0000;28130925;0.138;32.41;54.48;2.984;10.4;234.5;6.9;0.0;50.00;0.03;0;0;-0.00003;-0.95874;
1111 1111 0000 0000;28132925;0.138;32.12;54.48;2.984;10.5;234.3;7.2;0.0;49.99;0.04;0;0;0.00000;-0.98676;
1111 1111 0000 0000;28138946;0.138;32.12;54.50;2.983;11.0;234.5;7.2;0.0;49.98;0.03;0;0;0.00003;-0.98700;
1111 1111 0000 0000;28140946;0.138;32.62;54.46;2.985;10.5;234.1;6.9;0.0;49.98;0.04;0;0;-0.00003;-0.98273;
1111 1111 0000 0000;28142943;0.138;32.11;54.48;2.984;10.4;234.3;7.2;0.0;49.99;0.03;0;0;0.00000;-0.97424;
1111 1111 0000 0000;28148945;0.138;32.12;54.49;2.983;10.4;234.3;7.2;0.0;49.99;0.04;0;0;-0.00003;-0.98499;"Walid is great";
