"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;364749;0.007;34.03;54.75;2.959;10.5;235.6;75.7;0.0;49.98;0.32;0;0;-0.00006;-0.95746;
1111 1111 0000 0000;366759;0.007;34.05;54.77;2.959;10.7;235.5;75.6;0.0;49.97;0.32;0;0;-0.00003;-0.95612;
1111 1111 0000 0000;368768;0.007;33.87;54.71;2.959;10.7;235.3;75.3;0.0;49.97;0.32;0;0;-0.00003;-0.95752;
1111 1111 0000 0000;370777;0.007;34.03;54.70;2.960;10.7;234.9;75.7;0.0;49.96;0.32;0;0;-0.00006;-0.95685;
1111 1111 0000 0000;372788;0.007;34.03;54.70;2.960;10.7;235.1;75.7;0.0;49.98;0.32;0;0;-0.00006;-0.95673;
1111 1111 0000 0000;374799;0.007;33.86;54.65;2.960;10.7;235.1;75.4;0.0;49.98;0.32;0;0;-0.00006;-0.95776;
1111 1111 0000 0000;376810;0.007;34.03;54.68;2.960;10.7;235.1;75.8;0.0;49.98;0.32;0;0;-0.00006;-0.95746;
1111 1111 0000 0000;393389;0.007;34.03;54.79;2.959;10.7;235.4;75.0;0.0;49.99;0.32;0;0;-0.00006;-0.95526;
1111 1111 0000 0000;395397;0.007;33.86;54.79;2.960;10.3;235.6;75.0;0.0;49.98;0.32;0;0;-0.00006;-0.95996;
1111 1111 0000 0000;397466;0.007;34.04;54.83;2.959;10.8;235.7;74.9;0.0;49.99;0.32;0;0;-0.00006;-0.95703;
1111 1111 0000 0000;399463;0.007;34.03;54.81;2.960;10.8;235.6;74.4;0.0;49.99;0.32;0;0;-0.00006;-0.95599;"Walid is great";
1111 1111 0000 0000;401469;0.007;33.87;54.83;2.960;10.7;235.9;74.5;0.0;49.99;0.31;0;0;-0.00006;-0.96051;
1111 1111 0000 0000;404187;0.007;33.85;54.88;2.960;10.8;235.9;74.2;0.0;49.99;0.31;0;0;-0.00006;-0.96112;
1111 1111 0000 0000;405975;0.007;34.03;54.81;2.959;10.7;235.8;74.0;0.0;49.99;0.31;0;0;-0.00006;-0.95752;
1111 1111 0000 0000;407988;0.007;33.87;54.87;2.959;10.8;235.9;73.5;0.0;50.00;0.31;0;0;-0.00006;-0.95734;
1111 1111 0000 0000;410176;0.008;33.86;54.89;2.960;10.8;235.8;73.8;0.0;49.99;0.31;0;0;-0.00006;-0.96106;
1111 1111 0000 0000;412189;0.008;34.03;54.84;2.960;10.8;235.7;73.8;0.0;49.99;0.31;0;0;-0.00003;-0.95758;
1111 1111 0000 0000;414200;0.008;34.03;54.84;2.960;10.8;235.8;73.3;0.0;49.99;0.31;0;0;-0.00003;-0.95355;
